case_id,model,file_path,filename,syntax_valid,syntax_error_message
repo_352fa27_54e3209,GPT,cases/repo_352fa27_54e3209/llm_loss.py,llm_loss.py,Yes,None
repo_352fa27_54e3209,Gemini,cases/repo_352fa27_54e3209/llm_gemini_loss.py,llm_gemini_loss.py,Yes,None
repo_352fa27_54e3209,Claude,cases/repo_352fa27_54e3209/llm_claude_loss.py,llm_claude_loss.py,Yes,None
repo_395e3aa_4f72fb4,GPT,cases/repo_395e3aa_4f72fb4/llm_dataset.py,llm_dataset.py,Yes,None
repo_395e3aa_4f72fb4,Gemini,cases/repo_395e3aa_4f72fb4/llm_gemini_dataset.py,llm_gemini_dataset.py,Yes,None
repo_395e3aa_4f72fb4,Claude,cases/repo_395e3aa_4f72fb4/llm_claude_dataset.py,llm_claude_dataset.py,Yes,None
repo_5019c3b_3428d97,GPT,cases/repo_5019c3b_3428d97/llm_pipeline.py,llm_pipeline.py,Yes,None
repo_5019c3b_3428d97,Claude,cases/repo_5019c3b_3428d97/llm_claude_pipeline.py,llm_claude_pipeline.py,Yes,None
repo_5019c3b_3428d97,Gemini,cases/repo_5019c3b_3428d97/llm_gemini_pipeline.py,llm_gemini_pipeline.py,Yes,None
repo_b2e2729_8377e84,GPT,cases/repo_b2e2729_8377e84/llm_trainer.py,llm_trainer.py,Yes,None
repo_b2e2729_8377e84,Gemini,cases/repo_b2e2729_8377e84/llm_gemini_checkpoint.py,llm_gemini_checkpoint.py,Yes,None
repo_b2e2729_8377e84,GPT,cases/repo_b2e2729_8377e84/llm_checkpoint.py,llm_checkpoint.py,Yes,None
repo_b2e2729_8377e84,Claude,cases/repo_b2e2729_8377e84/llm_claude_checkpoint.py,llm_claude_checkpoint.py,Yes,None
repo_b2e2729_8377e84,Gemini,cases/repo_b2e2729_8377e84/llm_gemini_trainer.py,llm_gemini_trainer.py,Yes,None
repo_b2e2729_8377e84,Claude,cases/repo_b2e2729_8377e84/llm_claude_trainer.py,llm_claude_trainer.py,Yes,None
repo_2ef30b4_0f9f93e,GPT,cases/repo_2ef30b4_0f9f93e/llm_head.py,llm_head.py,Yes,None
repo_2ef30b4_0f9f93e,Claude,cases/repo_2ef30b4_0f9f93e/llm_claude_head.py,llm_claude_head.py,Yes,None
repo_2ef30b4_0f9f93e,Gemini,cases/repo_2ef30b4_0f9f93e/llm_gemini_head.py,llm_gemini_head.py,Yes,None
repo_4993bd2_508b5f7,Gemini,cases/repo_4993bd2_508b5f7/llm_gemini_x2coco.py,llm_gemini_x2coco.py,Yes,None
repo_4993bd2_508b5f7,Claude,cases/repo_4993bd2_508b5f7/llm_claude_x2coco.py,llm_claude_x2coco.py,Yes,None
repo_4993bd2_508b5f7,GPT,cases/repo_4993bd2_508b5f7/llm_x2coco.py,llm_x2coco.py,Yes,None
repo_70d00f6_5e02a81,GPT,cases/repo_70d00f6_5e02a81/llm_layers.py,llm_layers.py,Yes,None
repo_70d00f6_5e02a81,Claude,cases/repo_70d00f6_5e02a81/llm_claude_layers.py,llm_claude_layers.py,Yes,None
repo_70d00f6_5e02a81,Gemini,cases/repo_70d00f6_5e02a81/llm_gemini_layers.py,llm_gemini_layers.py,Yes,None
