case_id,model,file_path,filename,syntax_valid,syntax_error_message
repo_829a393_f262e33,Gemini,cases/repo_829a393_f262e33/llm_gemini_utility.py,llm_gemini_utility.py,Yes,None
repo_829a393_f262e33,Claude,cases/repo_829a393_f262e33/llm_claude_utility.py,llm_claude_utility.py,Yes,None
repo_829a393_f262e33,GPT,cases/repo_829a393_f262e33/llm_utility.py,llm_utility.py,Yes,None
repo_e9fca96_78ddaa4,Claude,cases/repo_e9fca96_78ddaa4/llm_claude_ocr.py,llm_claude_ocr.py,Yes,None
repo_e9fca96_78ddaa4,GPT,cases/repo_e9fca96_78ddaa4/llm_ocr.py,llm_ocr.py,Yes,None
repo_e9fca96_78ddaa4,Gemini,cases/repo_e9fca96_78ddaa4/llm_gemini_ocr.py,llm_gemini_ocr.py,Yes,None
repo_a61a58e_9cb073a,Gemini,cases/repo_a61a58e_9cb073a/llm_gemini_utility.py,llm_gemini_utility.py,Yes,None
repo_a61a58e_9cb073a,Claude,cases/repo_a61a58e_9cb073a/llm_claude_utility.py,llm_claude_utility.py,Yes,None
repo_a61a58e_9cb073a,GPT,cases/repo_a61a58e_9cb073a/llm_utility.py,llm_utility.py,Yes,None
repo_0accd26_1d4e7a8,Gemini,cases/repo_0accd26_1d4e7a8/llm_gemini_train.py,llm_gemini_train.py,Yes,None
repo_0accd26_1d4e7a8,GPT,cases/repo_0accd26_1d4e7a8/llm_load.py,llm_load.py,Yes,None
repo_0accd26_1d4e7a8,Gemini,cases/repo_0accd26_1d4e7a8/llm_gemini_load.py,llm_gemini_load.py,Yes,None
repo_0accd26_1d4e7a8,GPT,cases/repo_0accd26_1d4e7a8/llm_train.py,llm_train.py,Yes,None
repo_0accd26_1d4e7a8,Claude,cases/repo_0accd26_1d4e7a8/llm_claude_load.py,llm_claude_load.py,Yes,None
repo_0accd26_1d4e7a8,Claude,cases/repo_0accd26_1d4e7a8/llm_claude_train.py,llm_claude_train.py,Yes,None
repo_eaef336_54decf9,Gemini,cases/repo_eaef336_54decf9/llm_gemini_train.py,llm_gemini_train.py,Yes,None
repo_eaef336_54decf9,GPT,cases/repo_eaef336_54decf9/llm_load.py,llm_load.py,Yes,None
repo_eaef336_54decf9,Gemini,cases/repo_eaef336_54decf9/llm_gemini_load.py,llm_gemini_load.py,Yes,None
repo_eaef336_54decf9,GPT,cases/repo_eaef336_54decf9/llm_train.py,llm_train.py,Yes,None
repo_eaef336_54decf9,Claude,cases/repo_eaef336_54decf9/llm_claude_load.py,llm_claude_load.py,Yes,None
repo_eaef336_54decf9,Claude,cases/repo_eaef336_54decf9/llm_claude_train.py,llm_claude_train.py,Yes,None
