case_id,model,file_path,filename,syntax_valid,syntax_error_message
repo_105fb70_71d6cd4,Gemini,cases/repo_105fb70_71d6cd4/llm_gemini_dbt.py,llm_gemini_dbt.py,Yes,None
repo_105fb70_71d6cd4,GPT,cases/repo_105fb70_71d6cd4/llm_pipeline.py,llm_pipeline.py,Yes,None
repo_105fb70_71d6cd4,GPT,cases/repo_105fb70_71d6cd4/llm_metric.py,llm_metric.py,Yes,None
repo_105fb70_71d6cd4,Claude,cases/repo_105fb70_71d6cd4/llm_claude_dbt.py,llm_claude_dbt.py,Yes,None
repo_105fb70_71d6cd4,Claude,cases/repo_105fb70_71d6cd4/llm_claude_pipeline.py,llm_claude_pipeline.py,Yes,None
repo_105fb70_71d6cd4,Gemini,cases/repo_105fb70_71d6cd4/llm_gemini_metric.py,llm_gemini_metric.py,Yes,None
repo_105fb70_71d6cd4,GPT,cases/repo_105fb70_71d6cd4/llm_dbt.py,llm_dbt.py,Yes,None
repo_105fb70_71d6cd4,Gemini,cases/repo_105fb70_71d6cd4/llm_gemini_pipeline.py,llm_gemini_pipeline.py,Yes,None
repo_105fb70_71d6cd4,Claude,cases/repo_105fb70_71d6cd4/llm_claude_metric.py,llm_claude_metric.py,Yes,None
repo_f35abde_354b8b1,Gemini,cases/repo_f35abde_354b8b1/llm_gemini_cliapp.py,llm_gemini_cliapp.py,Yes,None
repo_f35abde_354b8b1,Claude,cases/repo_f35abde_354b8b1/llm_claude_cliapp.py,llm_claude_cliapp.py,Yes,None
repo_f35abde_354b8b1,GPT,cases/repo_f35abde_354b8b1/llm_cliapp.py,llm_cliapp.py,Yes,None
repo_0d62593_c8e4fb2,Gemini,cases/repo_0d62593_c8e4fb2/llm_gemini_def.py,llm_gemini_def.py,Yes,None
repo_0d62593_c8e4fb2,GPT,cases/repo_0d62593_c8e4fb2/llm_def.py,llm_def.py,Yes,None
repo_0d62593_c8e4fb2,Gemini,cases/repo_0d62593_c8e4fb2/llm_gemini_dependency.py,llm_gemini_dependency.py,No,SyntaxError: invalid syntax
repo_0d62593_c8e4fb2,GPT,cases/repo_0d62593_c8e4fb2/llm_dependency.py,llm_dependency.py,Yes,None
repo_0d62593_c8e4fb2,Claude,cases/repo_0d62593_c8e4fb2/llm_claude_dependency.py,llm_claude_dependency.py,Yes,None
repo_0d62593_c8e4fb2,Claude,cases/repo_0d62593_c8e4fb2/llm_claude_def.py,llm_claude_def.py,Yes,None
repo_41101f7_a0e5c3d,Gemini,cases/repo_41101f7_a0e5c3d/llm_gemini_run.py,llm_gemini_run.py,Yes,None
repo_41101f7_a0e5c3d,Gemini,cases/repo_41101f7_a0e5c3d/llm_gemini_conftest.py,llm_gemini_conftest.py,Yes,None
repo_41101f7_a0e5c3d,Claude,cases/repo_41101f7_a0e5c3d/llm_claude_recovery.py,llm_claude_recovery.py,Yes,None
repo_41101f7_a0e5c3d,Gemini,cases/repo_41101f7_a0e5c3d/llm_gemini_sensor.py,llm_gemini_sensor.py,Yes,None
repo_41101f7_a0e5c3d,Claude,cases/repo_41101f7_a0e5c3d/llm_claude_conftest.py,llm_claude_conftest.py,Yes,None
repo_41101f7_a0e5c3d,Claude,cases/repo_41101f7_a0e5c3d/llm_claude_sensor.py,llm_claude_sensor.py,Yes,None
repo_41101f7_a0e5c3d,Gemini,cases/repo_41101f7_a0e5c3d/llm_gemini_recovery.py,llm_gemini_recovery.py,Yes,None
repo_41101f7_a0e5c3d,Claude,cases/repo_41101f7_a0e5c3d/llm_claude_run.py,llm_claude_run.py,Yes,None
repo_41101f7_a0e5c3d,GPT,cases/repo_41101f7_a0e5c3d/llm_run.py,llm_run.py,Yes,None
repo_41101f7_a0e5c3d,GPT,cases/repo_41101f7_a0e5c3d/llm_recovery.py,llm_recovery.py,Yes,None
repo_41101f7_a0e5c3d,GPT,cases/repo_41101f7_a0e5c3d/llm_conftest.py,llm_conftest.py,Yes,None
repo_41101f7_a0e5c3d,GPT,cases/repo_41101f7_a0e5c3d/llm_sensor.py,llm_sensor.py,Yes,None
repo_d6fe0f5_e0f5dcf,GPT,cases/repo_d6fe0f5_e0f5dcf/llm_upstreamconstants.py,llm_upstreamconstants.py,Yes,None
repo_d6fe0f5_e0f5dcf,Gemini,cases/repo_d6fe0f5_e0f5dcf/llm_gemini_downstreamconstants.py,llm_gemini_downstreamconstants.py,Yes,None
repo_d6fe0f5_e0f5dcf,Gemini,cases/repo_d6fe0f5_e0f5dcf/llm_gemini_upstreamconstants.py,llm_gemini_upstreamconstants.py,Yes,None
repo_d6fe0f5_e0f5dcf,GPT,cases/repo_d6fe0f5_e0f5dcf/llm_test.py,llm_test.py,Yes,None
repo_d6fe0f5_e0f5dcf,GPT,cases/repo_d6fe0f5_e0f5dcf/llm_downstreamconstants.py,llm_downstreamconstants.py,Yes,None
repo_d6fe0f5_e0f5dcf,Gemini,cases/repo_d6fe0f5_e0f5dcf/llm_gemini_dbtconstants.py,llm_gemini_dbtconstants.py,Yes,None
