case_id,model,file_path,filename,syntax_valid,syntax_error_message
repo_cfbfe90_371ee1e,Gemini,cases/repo_cfbfe90_371ee1e/llm_gemini_misc.py,llm_gemini_misc.py,Yes,None
repo_cfbfe90_371ee1e,GPT,cases/repo_cfbfe90_371ee1e/llm_testmisc.py,llm_testmisc.py,Yes,None
repo_cfbfe90_371ee1e,Claude,cases/repo_cfbfe90_371ee1e/llm_claude_misc.py,llm_claude_misc.py,Yes,None
repo_cfbfe90_371ee1e,Gemini,cases/repo_cfbfe90_371ee1e/llm_gemini_testmisc.py,llm_gemini_testmisc.py,Yes,None
repo_cfbfe90_371ee1e,Claude,cases/repo_cfbfe90_371ee1e/llm_claude_testmisc.py,llm_claude_testmisc.py,Yes,None
repo_cfbfe90_371ee1e,GPT,cases/repo_cfbfe90_371ee1e/llm_misc.py,llm_misc.py,Yes,None
repo_62a3366_8d65452,Gemini,cases/repo_62a3366_8d65452/llm_gemini_telegram.py,llm_gemini_telegram.py,Yes,None
repo_62a3366_8d65452,Claude,cases/repo_62a3366_8d65452/llm_claude_test.py,llm_claude_test.py,Yes,None
repo_62a3366_8d65452,Gemini,cases/repo_62a3366_8d65452/llm_gemini_test.py,llm_gemini_test.py,Yes,None
repo_62a3366_8d65452,Claude,cases/repo_62a3366_8d65452/llm_claude_telegram.py,llm_claude_telegram.py,Yes,None
repo_62a3366_8d65452,Claude,cases/repo_62a3366_8d65452/llm_claude_rpc.py,llm_claude_rpc.py,Yes,None
repo_62a3366_8d65452,GPT,cases/repo_62a3366_8d65452/llm_testrpc.py,llm_testrpc.py,Yes,None
repo_62a3366_8d65452,GPT,cases/repo_62a3366_8d65452/llm_rpc.py,llm_rpc.py,Yes,None
repo_62a3366_8d65452,Claude,cases/repo_62a3366_8d65452/llm_claude_testrpc.py,llm_claude_testrpc.py,Yes,None
repo_62a3366_8d65452,Gemini,cases/repo_62a3366_8d65452/llm_gemini_testrpc.py,llm_gemini_testrpc.py,Yes,None
repo_62a3366_8d65452,GPT,cases/repo_62a3366_8d65452/llm_test.py,llm_test.py,Yes,None
repo_62a3366_8d65452,Gemini,cases/repo_62a3366_8d65452/llm_gemini_rpc.py,llm_gemini_rpc.py,Yes,None
repo_62a3366_8d65452,GPT,cases/repo_62a3366_8d65452/llm_telegram.py,llm_telegram.py,Yes,None
repo_595309c_795df94,GPT,cases/repo_595309c_795df94/llm_init.py,llm_init.py,Yes,None
repo_595309c_795df94,Gemini,cases/repo_595309c_795df94/llm_gemini_init.py,llm_gemini_init.py,Yes,None
repo_595309c_795df94,Claude,cases/repo_595309c_795df94/llm_claude_init.py,llm_claude_init.py,Yes,None
repo_b77fad6_77023c0,Claude,cases/repo_b77fad6_77023c0/llm_claude_backtesting.py,llm_claude_backtesting.py,Yes,None
repo_b77fad6_77023c0,Gemini,cases/repo_b77fad6_77023c0/llm_gemini_backtesting.py,llm_gemini_backtesting.py,Yes,None
repo_b77fad6_77023c0,GPT,cases/repo_b77fad6_77023c0/llm_backtesting.py,llm_backtesting.py,Yes,None
repo_a0cdc63_79ae3c2,Gemini,cases/repo_a0cdc63_79ae3c2/llm_gemini_freq.py,llm_gemini_freq.py,Yes,None
repo_a0cdc63_79ae3c2,Claude,cases/repo_a0cdc63_79ae3c2/llm_claude_freq.py,llm_claude_freq.py,Yes,None
repo_a0cdc63_79ae3c2,GPT,cases/repo_a0cdc63_79ae3c2/llm_freq.py,llm_freq.py,Yes,None
